SchoolDepartment,ProjectTitle,Finish Time,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour
Quality Assurance and Risk Mgmt,Updated Business Cards,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",01-10-2019,12:00:00 AM
Social Impact Engineering,ACAC Proclamation Post,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,2019-10-04,12:00:00 AM
Quality Assurance & Risk Management,Website RCW Addition,,kfoulstone0@instagram.com,"Website Programming, Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Website Programming",07-10-2019,12:00:00 AM
Quality Assurance and Risk Manag,In-Service Day Closure Communications,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports), Social Media Strategy, Website Programming, Technical Writing",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design, Social Media Strategy, Video Editing and Production",2019-10-07,12:00:00 AM
Quality Assurance & Risk Management,Schedule Fire Prevention Week Posts,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,,2019-10-07,00:00:00
Ethics and Prof Conduct,Tacoma Pro Bono Night Award on Social,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,"Social Media Strategy, Writing and Editing",08-10-2019,00:00:00
Quality Assurance and Risk Manag,Change Primary Language Text to actual Primary Language,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,08-10-2019,00:00:00
Quality Assurance and Risk Mgmt,Content for Spec. Populations Census Webpages,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,08-10-2019,12:00:00 AM
Quality Assurance and Risk Manag,Add 15-minute Census Training Video to Website,,kfoulstone0@instagram.com,"Video Editing and Production, Website Programming",Fatima Zahra El Idrissi,Website Programming,2019-10-08,12:00:00 AM
Quality Assurance and Risk Mgmt,African American Census Banners,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports), Social Media Strategy, Website Programming",Fatima Zahra El Idrissi,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation, Social Media Strategy, Website Programming",2019-10-08,00:00:00
Quality Assurance and Risk Manag,Animal Subagent Website Updates,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,09-10-2019,12:00:00 AM
Technical Communication & Media,Q3 Performance Measures for Social,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,2019-10-10,00:00:00
Quality Assurance and Risk Mgmt,Convert Census Banners into Social Optimized Sizes,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports), Social Media Strategy",Fatima Zahra El Idrissi,Graphic Design,10-10-2019,00:00:00
Quality Assurance and Risk Mgmt,Census Website Roster Edits,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,2019-10-11,00:00:00
Legal & Compliance Engineering,Therapeutic Court Program 25th Anniversary Social Post,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,11-10-2019,12:00:00 AM
Urban Planning and Public Infra,Promote PPW Graphic & Web Designer Position on Social,,kfoulstone0@instagram.com,"Social Media Strategy, Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Social Media Strategy, Graphic Design",2019-10-11,12:00:00 AM
Quality Assurance & Risk Management,Licensing In-Service Day PPT and Videos,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports), Video Editing and Production",Fatima Zahra El Idrissi,Video Editing and Production,11-10-2019,12:00:00 AM
Quality Assurance & Risk Management,Jurisdiction of the Year OurFamily/Press Release,,kfoulstone0@instagram.com,"Internal and External Communication, News Writing and Editing, Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"News and Media Communication, Graphic Design",14-10-2019,00:00:00
Quality Assurance and Risk Manag,Census Website Updates,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,2019-10-16,00:00:00
Quality Assurance & Risk Management,New Business Cards,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",17-10-2019,00:00:00
Quality Assurance and Risk Manag,Engage Pierce County Photos,,kfoulstone0@instagram.com,Technical Writing,Fatima Zahra El Idrissi,Video Editing,2019-10-17,12:00:00 AM
Quality Assurance and Risk Mgmt,Mandatory Recount Press Release,,kfoulstone0@instagram.com,"Internal and External Communication, Public Relations",Fatima Zahra El Idrissi,News and Media Communication,2019-11-27,12:00:00 AM
Financial Enginering,Budget Book Cover Art Mockup,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports), Social Media Strategy",Fatima Zahra El Idrissi,,2019-11-27,04:28:00 PM
Technical Communication & Media,WACO Presentation,,kfoulstone0@instagram.com,,Fatima Zahra El Idrissi,"Graphic Design, Proofreading and Quality Assurance, Social Media Strategy",2019-11-27,16:31:00
Quality Assurance & Risk Management,POA Training Videos,,kfoulstone0@instagram.com,"Social Media Strategy, Video Editing and Production, Website Programming",Fatima Zahra El Idrissi,"Video Editing and Production, Website Programming, Social Media Strategy",27-11-2019,16:33:00
Quality Assurance & Risk Management,Updated Business Cards,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",2019-11-27,04:35:00 PM
Quality Assurance and Risk Manag,Military Benefits Brochure Updates,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design, Proofreading and Quality Assurance",2019-11-27,16:40:00
Quality Assurance and Risk Mgmt,Schedule Fire Prevention Week Posts,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,,27-11-2019,16:44:00
Social Impact Eng,ACAC Proclamation Post,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,27-11-2019,16:45:00
Quality Assurance & Risk Management,In-Service Day Closure Communications,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports), Social Media Strategy, Website Programming, Technical Writing",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design, Social Media Strategy, Video Editing and Production",27-11-2019,04:48:00 PM
Quality Assurance and Risk Manag,Website RCW Addition,,kfoulstone0@instagram.com,"Website Programming, Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Website Programming",2019-11-27,16:50:00
Quality Assurance & Risk Management,African American Census Banners,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports), Social Media Strategy, Website Programming",Fatima Zahra El Idrissi,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation, Social Media Strategy, Website Programming",2019-11-27,16:55:00
Quality Assurance and Risk Mgmt,Add 15-minute Census Training Video to Website,,kfoulstone0@instagram.com,"Video Editing and Production, Website Programming",Fatima Zahra El Idrissi,Website Programming,2019-11-27,04:56:00 PM
Quality Assurance & Risk Management,Content for Spec. Populations Census Webpages,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,2019-11-27,16:57:00
Quality Assurance and Risk Mgmt,Change Primary Language Text to actual Primary Language,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,2019-11-27,04:58:00 PM
Ethics and Prof Conduct,Tacoma Pro Bono Night Award on Social,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,"Social Media Strategy, Writing and Editing",2019-11-27,17:00:00
Quality Assurance and Risk Mgmt,Animal Subagent Website Updates,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,27-11-2019,17:04:00
Quality Assurance & Risk Management,Jurisdiction of the Year OurFamily/Press Release,,kfoulstone0@instagram.com,"Internal and External Communication, News Writing and Editing, Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"News and Media Communication, Graphic Design",2019-11-27,05:07:00 PM
Quality Assurance and Risk Manag,Convert Census Banners into Social Optimized Sizes,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports), Social Media Strategy",Fatima Zahra El Idrissi,Graphic Design,27-11-2019,17:08:00
Tech Communication and Media,Q3 Performance Measures for Social,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,2019-11-27,17:09:00
Quality Assurance and Risk Mgmt,Licensing In-Service Day PPT and Videos,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports), Video Editing and Production",Fatima Zahra El Idrissi,Video Editing and Production,27-11-2019,17:10:00
Urban Planning & Public Infrastructure,Promote PPW Graphic & Web Designer Position on Social,,kfoulstone0@instagram.com,"Social Media Strategy, Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Social Media Strategy, Graphic Design",2019-11-27,05:11:00 PM
Legal and Compliance Engin,Therapeutic Court Program 25th Anniversary Social Post,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,27-11-2019,17:14:00
Quality Assurance and Risk Mgmt,Census Website Roster Edits,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,27-11-2019,17:15:00
Tech Communication and Media,New Social Media Scheduling Tool,,kfoulstone0@instagram.com,,Fatima Zahra El Idrissi,Social Media Strategy,27-11-2019,17:16:00
Quality Assurance and Risk Mgmt,Census Website Updates,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,27-11-2019,17:18:00
Quality Assurance and Risk Manag,Engage Pierce County Photos,,kfoulstone0@instagram.com,Technical Writing,Fatima Zahra El Idrissi,Video Editing,2019-11-27,17:19:00
Quality Assurance and Risk Manag,New Business Cards,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",27-11-2019,05:20:00 PM
Quality Assurance & Risk Management,Mandatory Recount Press Release,,kfoulstone0@instagram.com,"Internal and External Communication, Public Relations",Fatima Zahra El Idrissi,News and Media Communication,2019-11-27,05:59:00 PM
Governance & Policy Studies,Promote Performance Audit Committee Vacancy,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,2020-09-08,09:45:00 PM
Quality Assurance and Risk Manag,Notice of Canvassing Board meeting,,stonsley1@nih.gov,News Writing and Editing,Amina Benkirane,"Proofreading and Quality Assurance, Website Programming, News and Media Communication",2018-10-23,22:24:00
Quality Assurance and Risk Mgmt,Extra Hire Recruitment Postcard,,stonsley1@nih.gov,"Printed Material (Posters, Brochures, Reports)",Amina Benkirane,"Graphic Design, Writing and Editing, Technical Documentation, Video Editing",11-01-2019,06:36:00 PM
Quality Assurance and Risk Manag,Recording Fee Website Edits,,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,11-01-2019,18:37:00
Quality Assurance & Risk Management,Election at a Glance - Feb. 2019 Special Election,,stonsley1@nih.gov,"Printed Material (Posters, Brochures, Reports)",Amina Benkirane,"Graphic Design, Website Programming, Social Media Strategy",11-01-2019,06:39:00 PM
Quality Assurance & Risk Management,Pet Agent Roster Web,,stonsley1@nih.gov,Website Programming,Amina Benkirane,"Proofreading and Quality Assurance, Website Programming, Graphic Design",11-01-2019,06:40:00 PM
Quality Assurance and Risk Mgmt,eRecording 1/2 Sheet Flyer,,stonsley1@nih.gov,"Printed Material (Posters, Brochures, Reports)",Amina Benkirane,"Technical Documentation, Graphic Design, Writing and Editing",2019-01-11,06:43:00 PM
Quality Assurance and Risk Manag,Restrictive Covenants Brochure,,stonsley1@nih.gov,"Printed Material (Posters, Brochures, Reports)",Amina Benkirane,"Website Programming, Technical Documentation, Graphic Design",2019-01-11,18:45:00
Quality Assurance and Risk Mgmt,Covenant Search Instructions Brochure,,stonsley1@nih.gov,"Printed Material (Posters, Brochures, Reports)",Amina Benkirane,"Technical Documentation, Graphic Design, Website Programming",11-01-2019,18:49:00
Quality Assurance and Risk Manag,Transition piercecountypets.org to Civic Page,,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,2019-01-11,18:51:00
Governance and Poli stud,Opioid Task Force Webpage Edits,,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,2019-01-11,19:03:00
Engineering Leadership & Strategy,Inside Pierce County Video Logo,,stonsley1@nih.gov,Technical Writing,Amina Benkirane,"Video Editing and Production, Proofreading and Quality Assurance, Graphic Design",2019-01-11,07:15:00 PM
Safety Engineering and Crisis Mgmt,Review Marketing Articles,,stonsley1@nih.gov,Technical Writing,Amina Benkirane,Social Media Strategy,2019-01-11,07:22:00 PM
Governance & Policy Studies,2018 Council Communications Infographic,,stonsley1@nih.gov,"Graphic Design/Marketing (Posters, Brochures, Reports)",Amina Benkirane,"Social Media Strategy, Graphic Design",11-01-2019,19:24:00
Administrative and Procedural Engin,Create Facebook Page for District COourt,,stonsley1@nih.gov,Social Media Strategy,Amina Benkirane,"Graphic Design, Social Media Strategy",2019-01-11,08:43:00 PM
Administrative & Procedural Engineering,New Web Banner,,stonsley1@nih.gov,Website Programming,Amina Benkirane,"Graphic Design, Website Programming",14-01-2019,06:11:00 PM
Quality Assurance and Risk Mgmt,Roster Application Edit,,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,14-01-2019,09:46:00 PM
Quality Assurance and Risk Mgmt,Upload 2019 Voting in WA Translated Videos to YouTube,,stonsley1@nih.gov,Video Editing and Production,Amina Benkirane,Video Editing and Production,2019-01-17,05:10:00 PM
Quality Assurance and Risk Mgmt,Pet Agent Removal from Website,,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,17-01-2019,09:29:00 PM
Administrative & Procedural Engineering,Social Post - Foley Retirement,,stonsley1@nih.gov,Social Media Strategy,Amina Benkirane,Social Media Strategy,2019-01-18,18:31:00
Quality Assurance & Risk Management,Secondhand/Pawn Application,,stonsley1@nih.gov,"Graphic Design/Marketing (Posters, Brochures, Reports)",Amina Benkirane,"Technical Documentation, Graphic Design, Writing and Editing, Proofreading and Quality Assurance",28-01-2019,21:03:00
Quality Assurance and Risk Mgmt,Add Graphic to Census Webpage,,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,29-01-2019,09:48:00 PM
Quality Assurance and Risk Manag,Census Website Updates,,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,2019-01-31,10:08:00 PM
Quality Assurance and Risk Manag,Census Event - eFlyer Invite Design and Send,,stonsley1@nih.gov,"Graphic Design/Marketing (Posters, Brochures, Reports)",Amina Benkirane,Graphic Design,2019-01-31,10:10:00 PM
Technical Communication & Media,Update Cover Photos and Profile Pictures,,stonsley1@nih.gov,Social Media Strategy,Amina Benkirane,"Social Media Strategy, Graphic Design",2019-02-01,05:46:00 PM
Quality Assurance and Risk Mgmt,Pet Agent Roster Website Change,,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,05-02-2019,08:19:00 PM
Quality Assurance and Risk Manag,Pet Agent Roster Contract Update,,stonsley1@nih.gov,Website Programming,Amina Benkirane,"Website Programming, Technical Documentation, Proofreading and Quality Assurance",05-02-2019,20:30:00
Partnerships and External Collabor,Measles Outbreak Messaging,,stonsley1@nih.gov,Social Media Strategy,Amina Benkirane,Social Media Strategy,2019-02-06,06:39:00 PM
Quality Assurance and Risk Mgmt,Pet Agent Roster Web Edits,,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,2019-02-07,04:58:00 PM
